titulo;ano;classificacao;duracao;sinopse;direcao;roteiristas;artistas;nota
The Apartment;1960;Approved;2h 5m;A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.;Billy Wilder;Billy Wilder, I.A.L. Diamond;Jack Lemmon, Shirley MacLaine, Fred MacMurray;8.3
Amélie;2001;R;2h 2m;Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.;Jean-Pierre Jeunet;Guillaume Laurant, Jean-Pierre Jeunet;Audrey Tautou, Mathieu Kassovitz, Rufus;8.3
Lawrence of Arabia;1962;Approved;3h 38m;The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.;David Lean;Robert Bolt, Michael Wilson;Peter O'Toole, Alec Guinness, Anthony Quinn;8.3
Citizen Kane;1941;PG;1h 59m;Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.';Orson Welles;Herman J. Mankiewicz, Orson Welles, John Houseman;Orson Welles, Joseph Cotten, Dorothy Comingore;8.3
Reservoir Dogs;1992;R;1h 39m;When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.;Quentin Tarantino;Quentin Tarantino, Roger Avary;Harvey Keitel, Tim Roth, Michael Madsen;8.3
The Hunt;2012;R;1h 55m;A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.;Thomas Vinterberg;Thomas Vinterberg, Tobias Lindholm;Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp;8.3
Eternal Sunshine of the Spotless Mind;2004;R;1h 48m;When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.;Michel Gondry;Charlie Kaufman, Michel Gondry, Pierre Bismuth;Jim Carrey, Kate Winslet, Tom Wilkinson;8.3
M;1931;Passed;1h 39m;When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.;Fritz Lang;Thea von Harbou, Fritz Lang, Egon Jacobsohn;Peter Lorre, Ellen Widmann, Inge Landgut;8.3
2001 A Space Odyssey;1968;G;2h 29m;After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.;Stanley Kubrick;Stanley Kubrick, Arthur C. Clarke;Keir Dullea, Gary Lockwood, William Sylvester;8.3
Come and See;1985;Not Rated;2h 22m;After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.;Elem Klimov;Ales Adamovich, Elem Klimov;Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius;8.4
Toy Story 3;2010;G;1h 43m;The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.;Lee Unkrich;John Lasseter, Andrew Stanton, Lee Unkrich;Tom Hanks, Tim Allen, Joan Cusack;8.3
High and Low;1963;Not Rated;2h 23m;An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.;Akira Kurosawa;Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita;Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai;8.4
Singin' in the Rain;1952;G;1h 43m;A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.;Stanley Donen, Gene Kelly;Betty Comden, Adolph Green;Gene Kelly, Donald O'Connor, Debbie Reynolds;8.3
Capernaum;2018;R;2h 6m;While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.;Nadine Labaki;Nadine Labaki, Jihad Hojeily, Michelle Keserwany;Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole;8.4
Star Wars Episode VI - Return of the Jedi;1983;PG;2h 11m;After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.;Richard Marquand;Lawrence Kasdan, George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher;8.3
Requiem for a Dream;2000;Unrated;1h 42m;The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.;Darren Aronofsky;Hubert Selby Jr., Darren Aronofsky;Ellen Burstyn, Jared Leto, Jennifer Connelly;8.3
3 Idiots;2009;PG-13;2h 50m;"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".";Rajkumar Hirani;Abhijat Joshi, Rajkumar Hirani, Vidhu Vinod Chopra;Aamir Khan, Madhavan, Mona Singh;8.4
Your Name.;2016;TV-PG;1h 46m;Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.;Makoto Shinkai;Makoto Shinkai, Clark Cheng;Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita;8.4
Once Upon a Time in America;1984;R;3h 49m;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.;Sergio Leone;Harry Grey, Leonardo Benvenuti, Piero De Bernardi;Robert De Niro, James Woods, Elizabeth McGovern;8.3
Princess Mononoke;1997;PG-13;2h 14m;On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.;Hayao Miyazaki;Hayao Miyazaki, Neil Gaiman;Yôji Matsuda, Yuriko Ishida, Yûko Tanaka;8.3
Good Will Hunting;1997;R;2h 6m;Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.;Gus Van Sant;Matt Damon, Ben Affleck;Robin Williams, Matt Damon, Ben Affleck;8.3
Joker;2019;R;2h 2m;The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.;Todd Phillips;Todd Phillips, Scott Silver, Bob Kane;Joaquin Phoenix, Robert De Niro, Zazie Beetz;8.4
Avengers Endgame;2019;PG-13;3h 1m;After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.;Anthony Russo, Joe Russo;Christopher Markus, Stephen McFeely, Stan Lee;Robert Downey Jr., Chris Evans, Mark Ruffalo;8.4
Coco;2017;PG;1h 45m;Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.;Lee Unkrich, Adrian Molina;Lee Unkrich, Jason Katz, Matthew Aldrich;Anthony Gonzalez, Gael García Bernal, Benjamin Bratt;8.4
Braveheart;1995;R;2h 58m;Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.;Mel Gibson;Randall Wallace;Mel Gibson, Sophie Marceau, Patrick McGoohan;8.3
Toy Story;1995;G;1h 21m;A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.;John Lasseter;John Lasseter, Pete Docter, Andrew Stanton;Tom Hanks, Tim Allen, Don Rickles;8.3
Oldboy;2003;R;2h;After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.;Park Chan-wook;Garon Tsuchiya, Nobuaki Minegishi, Park Chan-wook;Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong;8.4
Inglourious Basterds;2009;R;2h 33m;In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.;Quentin Tarantino;Quentin Tarantino;Brad Pitt, Diane Kruger, Eli Roth;8.3
The Dark Knight Rises;2012;PG-13;2h 44m;Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.;Christopher Nolan;Jonathan Nolan, Christopher Nolan, David S. Goyer;Christian Bale, Tom Hardy, Anne Hathaway;8.4
Amadeus;1984;PG;2h 40m;The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.;Milos Forman;Peter Shaffer, Zdenek Mahler;F. Murray Abraham, Tom Hulce, Elizabeth Berridge;8.4
American Beauty;1999;R;2h 2m;A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.;Sam Mendes;Alan Ball;Kevin Spacey, Annette Bening, Thora Birch;8.3
Spider-Man Into the Spider-Verse;2018;PG;1h 57m;Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.;Bob Persichetti, Peter Ramsey, Rodney Rothman;Phil Lord, Rodney Rothman;Shameik Moore, Jake Johnson, Hailee Steinfeld;8.4
Aliens;1986;R;2h 17m;Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.;James Cameron;James Cameron, David Giler, Walter Hill;Sigourney Weaver, Michael Biehn, Carrie Henn;8.4
Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb;1964;PG;1h 35m;An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.;Stanley Kubrick;Stanley Kubrick, Terry Southern, Peter George;Peter Sellers, George C. Scott, Sterling Hayden;8.4
Witness for the Prosecution;1957;Approved;1h 56m;A veteran British barrister must defend his client in a murder trial that has surprise after surprise.;Billy Wilder;Agatha Christie, Billy Wilder, Harry Kurnitz;Tyrone Power, Marlene Dietrich, Charles Laughton;8.4
The Shining;1980;R;2h 26m;A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.;Stanley Kubrick;Stephen King, Stanley Kubrick, Diane Johnson;Jack Nicholson, Shelley Duvall, Danny Lloyd;8.4
Avengers Infinity War;2018;PG-13;2h 29m;The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.;Anthony Russo, Joe Russo;Christopher Markus, Stephen McFeely, Stan Lee;Robert Downey Jr., Chris Hemsworth, Mark Ruffalo;8.4
The Great Dictator;1940;G;2h 5m;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.;Charles Chaplin;Charles Chaplin;Charles Chaplin, Paulette Goddard, Jack Oakie;8.4
Sunset Blvd.;1950;Passed;1h 50m;A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.;Billy Wilder;Charles Brackett, Billy Wilder, D.M. Marshman Jr.;William Holden, Gloria Swanson, Erich von Stroheim;8.4
The Lives of Others;2006;R;2h 17m;In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.;Florian Henckel von Donnersmarck;Florian Henckel von Donnersmarck;Ulrich Mühe, Martina Gedeck, Sebastian Koch;8.4
Indiana Jones and the Raiders of the Lost Ark;1981;PG;1h 55m;In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.;Steven Spielberg;Lawrence Kasdan, George Lucas, Philip Kaufman;Harrison Ford, Karen Allen, Paul Freeman;8.4
Paths of Glory;1957;Approved;1h 28m;After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.;Stanley Kubrick;Stanley Kubrick, Calder Willingham, Jim Thompson;Kirk Douglas, Ralph Meeker, Adolphe Menjou;8.4
WALL·E;2008;G;1h 38m;In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.;Andrew Stanton;Andrew Stanton, Pete Docter, Jim Reardon;Ben Burtt, Elissa Knight, Jeff Garlin;8.4
Django Unchained;2012;R;2h 45m;With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.;Quentin Tarantino;Quentin Tarantino;Jamie Foxx, Christoph Waltz, Leonardo DiCaprio;8.4
Memento;2000;R;1h 53m;A man with short-term memory loss attempts to track down his wife's murderer.;Christopher Nolan;Christopher Nolan, Jonathan Nolan;Guy Pearce, Carrie-Anne Moss, Joe Pantoliano;8.4
Apocalypse Now;1979;R;2h 27m;A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.;Francis Ford Coppola;John Milius, Francis Ford Coppola, Michael Herr;Martin Sheen, Marlon Brando, Robert Duvall;8.4
Once Upon a Time in the West;1968;PG-13;2h 45m;A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.;Sergio Leone;Sergio Donati, Sergio Leone, Dario Argento;Henry Fonda, Charles Bronson, Claudia Cardinale;8.5
Alien;1979;R;1h 57m;The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.;Ridley Scott;Dan O'Bannon, Ronald Shusett;Sigourney Weaver, Tom Skerritt, John Hurt;8.5
Rear Window;1954;PG;1h 52m;A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.;Alfred Hitchcock;John Michael Hayes, Cornell Woolrich;James Stewart, Grace Kelly, Wendell Corey;8.5
Cinema Paradiso;1988;PG;2h 35m;A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.;Giuseppe Tornatore;Giuseppe Tornatore, Vanna Paoli;Philippe Noiret, Enzo Cannavale, Antonella Attili;8.5
Harakiri;1962;Not Rated;2h 13m;When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.;Masaki Kobayashi;Yasuhiko Takiguchi, Shinobu Hashimoto;Tatsuya Nakadai, Akira Ishihama, Shima Iwashita;8.6
The Intouchables;2011;R;1h 52m;After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.;Olivier Nakache, Éric Toledano;Olivier Nakache, Éric Toledano, Philippe Pozzo di Borgo;François Cluzet, Omar Sy, Anne Le Ny;8.5
City Lights;1931;G;1h 27m;With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.;Charles Chaplin;Charles Chaplin, Harry Carr, Harry Crocker;Charles Chaplin, Virginia Cherrill, Florence Lee;8.5
Modern Times;1936;G;1h 27m;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;Charles Chaplin;Charles Chaplin;Charles Chaplin, Paulette Goddard, Henry Bergman;8.5
Grave of the Fireflies;1988;Not Rated;1h 29m;A young boy and his little sister struggle to survive in Japan during World War II.;Isao Takahata;Akiyuki Nosaka, Isao Takahata;Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi;8.5
The Usual Suspects;1995;R;1h 46m;The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.;Bryan Singer;Christopher McQuarrie;Kevin Spacey, Gabriel Byrne, Chazz Palminteri;8.5
Casablanca;1942;PG;1h 42m;A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.;Michael Curtiz;Julius J. Epstein, Philip G. Epstein, Howard Koch;Humphrey Bogart, Ingrid Bergman, Paul Henreid;8.5
The Prestige;2006;PG-13;2h 10m;After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.;Christopher Nolan;Jonathan Nolan, Christopher Nolan, Christopher Priest;Christian Bale, Hugh Jackman, Scarlett Johansson;8.5
Whiplash;2014;R;1h 46m;A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.;Damien Chazelle;Damien Chazelle;Miles Teller, J.K. Simmons, Melissa Benoist;8.5
The Lion King;1994;G;1h 28m;Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.;Roger Allers, Rob Minkoff;Irene Mecchi, Jonathan Roberts, Linda Woolverton;Matthew Broderick, Jeremy Irons, James Earl Jones;8.5
American History X;1998;R;1h 59m;"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.";Tony Kaye;David McKenna;Edward Norton, Edward Furlong, Beverly D'Angelo;8.5
Léon The Professional;1994;R;1h 50m;12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.;Luc Besson;Luc Besson;Jean Reno, Gary Oldman, Natalie Portman;8.5
Psycho;1960;R;1h 49m;A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.;Alfred Hitchcock;Joseph Stefano, Robert Bloch;Anthony Perkins, Janet Leigh, Vera Miles;8.5
The Pianist;2002;R;2h 30m;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;Roman Polanski;Ronald Harwood, Wladyslaw Szpilman;Adrien Brody, Thomas Kretschmann, Frank Finlay;8.5
Parasite;2019;R;2h 12m;Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.;Bong Joon Ho;Bong Joon Ho, Han Jin-won;Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong;8.5
Terminator 2 Judgment Day;1991;R;2h 17m;A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.;James Cameron;James Cameron, William Wisher;Arnold Schwarzenegger, Linda Hamilton, Edward Furlong;8.6
Spirited Away;2001;PG;2h 5m;During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.;Hayao Miyazaki;Hayao Miyazaki;Daveigh Chase, Suzanne Pleshette, Miyu Irino;8.6
Gladiator;2000;R;2h 35m;A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.;Ridley Scott;David Franzoni, John Logan, William Nicholson;Russell Crowe, Joaquin Phoenix, Connie Nielsen;8.5
The Departed;2006;R;2h 31m;An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.;Martin Scorsese;William Monahan, Alan Mak, Felix Chong;Leonardo DiCaprio, Matt Damon, Jack Nicholson;8.5
The Green Mile;1999;R;3h 9m;A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.;Frank Darabont;Stephen King, Frank Darabont;Tom Hanks, Michael Clarke Duncan, David Morse;8.6
Star Wars Episode IV - A New Hope;1977;PG;2h 1m;Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.;George Lucas;George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher;8.6
Back to the Future;1985;PG;1h 56m;Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.;Robert Zemeckis;Robert Zemeckis, Bob Gale;Michael J. Fox, Christopher Lloyd, Lea Thompson;8.5
Life Is Beautiful;1997;PG-13;1h 56m;When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.;Roberto Benigni;Vincenzo Cerami, Roberto Benigni;Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini;8.6
City of God;2002;R;2h 10m;In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.;Fernando Meirelles, Kátia Lund;Paulo Lins, Bráulio Mantovani;Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele;8.6
The Lord of the Rings The Fellowship of the Ring;2001;PG-13;2h 58m;A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;Elijah Wood, Ian McKellen, Orlando Bloom;8.8
Pulp Fiction;1994;R;2h 34m;The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.;Quentin Tarantino;Quentin Tarantino, Roger Avary;John Travolta, Uma Thurman, Samuel L. Jackson;8.9
The Lord of the Rings The Return of the King;2003;PG-13;3h 21m;Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;Elijah Wood, Viggo Mortensen, Ian McKellen;9.0
Interstellar;2014;PG-13;2h 49m;When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.;Christopher Nolan;Jonathan Nolan, Christopher Nolan;Matthew McConaughey, Anne Hathaway, Jessica Chastain;8.7
Schindler's List;1993;R;3h 15m;In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.;Steven Spielberg;Thomas Keneally, Steven Zaillian;Liam Neeson, Ralph Fiennes, Ben Kingsley;9.0
12 Angry Men;1957;Approved;1h 36m;The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.;Sidney Lumet;Reginald Rose;Henry Fonda, Lee J. Cobb, Martin Balsam;9.0
The Godfather Part II;1974;R;3h 22m;The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.;Francis Ford Coppola;Francis Ford Coppola, Mario Puzo;Al Pacino, Robert De Niro, Robert Duvall;9.0
The Dark Knight;2008;PG-13;2h 32m;When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.;Christopher Nolan;Jonathan Nolan, Christopher Nolan, David S. Goyer;Christian Bale, Heath Ledger, Aaron Eckhart;9.0
The Godfather;1972;R;2h 55m;Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.;Francis Ford Coppola;Mario Puzo, Francis Ford Coppola;Marlon Brando, Al Pacino, James Caan;9.2
